Pluies-Débits Hammam Bougrara;
Série 01/1997 -> 12/2016;
T;Q
1/7/2013;0.007547735
1/8/2013;0.027548383
1/9/2013;0.024155811
1/10/2013;0.007547735
1/11/2013;0.030524087
1/12/2013;0.214788649
1/1/2014;0.074562944
1/2/2014;0.030952074
1/3/2014;0.030741887
1/4/2014;0.030061025
1/5/2014;0.030831695
1/6/2014;0.030061025
1/7/2014;0.007547735
1/8/2014;0.007547735
1/9/2014;0.030741887
1/10/2014;0.028676804
1/11/2014;0.029640136
1/12/2014;0.06148544
1/1/2015;0.030156816
1/2/2015;0.030524087
1/3/2015;0.030831695
1/4/2015;0.030061025
1/5/2015;0.03058402
1/6/2015;0.016330144
1/7/2015;0.007547735
1/8/2015;0.007547735
1/9/2015;0.030741887
1/10/2015;0.030953216
1/11/2015;0.021872824
1/12/2015;0.007547735
1/1/2016;0.029493112
1/2/2016;0.030524087
1/3/2016;0.030524087
1/4/2016;0.030913688
1/5/2016;0.030067276
1/6/2016;0.027548383
1/7/2016;0.007547735
1/8/2016;0.007547735
1/9/2016;0.030684266
1/10/2016;0.030961907
1/11/2016;0.030460084
1/12/2016;0.030240453
